object_type,page_number,x0,x1,y0,y1,doctop,top,bottom,width,height,adv,evenodd,fill,fontname,linewidth,matrix,mcid,ncs,non_stroking_color,non_stroking_pattern,pts,size,stroke,stroking_color,stroking_pattern,tag,text,upright
rect,1,709.61,937.4200000000001,129.17,532.78,79.22000000000003,79.22000000000003,482.83000000000004,227.81000000000006,403.61,,1,1,,0,,,,"(1,)",,"[(709.61, 482.83000000000004), (937.4200000000001, 482.83000000000004), (937.4200000000001, 79.22000000000003), (709.61, 79.22000000000003)]",,0,,,,,
rect,1,937.18,975.3639999999999,129.17,532.78,79.22000000000003,79.22000000000003,482.83000000000004,38.18399999999997,403.61,,1,1,,0,,,,"(1,)",,"[(937.18, 482.83000000000004), (975.3639999999999, 482.83000000000004), (975.3639999999999, 79.22000000000003), (937.18, 79.22000000000003)]",,0,,,,,
rect,1,33.12,975.36,121.97,129.41,482.59000000000003,482.59000000000003,490.03,942.24,7.439999999999998,,1,1,,0,,,,"(1,)",,"[(33.12, 490.03), (975.36, 490.03), (975.36, 482.59000000000003), (33.12, 482.59000000000003)]",,0,,,,,
rect,1,33.12,975.36,49.944,122.208,489.79200000000003,489.79200000000003,562.056,942.24,72.264,,1,1,,0,,,,"(1,)",,"[(33.12, 562.056), (975.36, 562.056), (975.36, 489.79200000000003), (33.12, 489.79200000000003)]",,0,,,,,
rect,1,33.12,975.36,42.744,50.184,561.816,561.816,569.256,942.24,7.439999999999998,,1,1,,0,,,,"(1,)",,"[(33.12, 569.256), (975.36, 569.256), (975.36, 561.816), (33.12, 561.816)]",,0,,,,,
rect,1,145.7,145.94,533.02,541.66,70.34000000000003,70.34000000000003,78.98000000000002,0.2400000000000091,8.639999999999986,,1,1,,0.24,,,,,,"[(145.7, 78.98000000000002), (145.94, 78.98000000000002), (145.94, 70.34000000000003), (145.7, 70.34000000000003)]",,0,,,,,
rect,1,180.02,180.26000000000002,533.02,541.66,70.34000000000003,70.34000000000003,78.98000000000002,0.2400000000000091,8.639999999999986,,1,1,,0.24,,,,,,"[(180.02, 78.98000000000002), (180.26000000000002, 78.98000000000002), (180.26000000000002, 70.34000000000003), (180.02, 70.34000000000003)]",,0,,,,,
rect,1,211.01,211.25,533.02,541.66,70.34000000000003,70.34000000000003,78.98000000000002,0.2400000000000091,8.639999999999986,,1,1,,0.24,,,,,,"[(211.01, 78.98000000000002), (211.25, 78.98000000000002), (211.25, 70.34000000000003), (211.01, 70.34000000000003)]",,0,,,,,
rect,1,235.25,235.49,533.02,541.66,70.34000000000003,70.34000000000003,78.98000000000002,0.2400000000000091,8.639999999999986,,1,1,,0.24,,,,,,"[(235.25, 78.98000000000002), (235.49, 78.98000000000002), (235.49, 70.34000000000003), (235.25, 70.34000000000003)]",,0,,,,,
rect,1,265.01,265.25,533.02,541.66,70.34000000000003,70.34000000000003,78.98000000000002,0.2400000000000091,8.639999999999986,,1,1,,0.24,,,,,,"[(265.01, 78.98000000000002), (265.25, 78.98000000000002), (265.25, 70.34000000000003), (265.01, 70.34000000000003)]",,0,,,,,
